latitude,longitude,risk_label,safety_score,min_distance_to_geofence,inside_any_geofence,closest_geofence_risk_score
16.22655282351361,80.23362616494921,Safe,100,10.405833796466135,1,20
16.271361672196402,80.27466524491999,Safe,100,10.513474676567533,1,20
16.32417520356193,80.13470396044941,Safe,100,5.538115269700389,1,20
16.260622852783357,80.1347086461183,Safe,100,7.29034442960702,1,20
16.31157063462273,80.24068533130952,Safe,100,6.148092303674846,1,20
16.213874256057778,80.12338735685927,Safe,100,12.142527277140827,1,20
16.391625160970506,80.16779467177899,Safe,100,9.587071819067317,1,20
16.36122221431325,80.11549903381126,Safe,100,9.439167074839748,1,20
16.32396449661683,80.1933203979045,Very High,20,2.197463795750463,1,20
16.362883702224057,80.11560864852633,Safe,100,9.550003676093251,1,20
16.33216936603223,80.16930420426291,Very High,20,3.20176651825539,1,20
16.315022323233695,80.16204049272667,Very High,20,2.4502740238095657,1,20
16.39671031551443,80.12916753374418,Safe,100,11.55567327162789,1,20
16.22696768424643,80.19891037642489,Safe,100,9.021058757532103,1,20
16.330844474848817,80.11650617330915,Safe,100,7.616763401606343,1,20
16.30188323626973,80.21710961627487,Very High,20,3.6478031999823757,1,20
16.24086865996392,80.18068782912297,Safe,100,7.325419263734242,1,20
16.33448241047778,80.24465202877592,Safe,100,7.239374036747999,1,20
16.267883900057193,80.15003437681798,Safe,100,5.58886123377963,1,20
16.241460679660353,80.10827305096741,Safe,100,10.805470262295948,1,20
16.384134687416243,80.18349377346635,Safe,100,8.610369211006098,1,20
16.309677807908265,80.21571924539771,Very High,20,3.4756233049932646,1,20
16.25680889312279,80.25886633528339,Safe,100,9.789292504754918,1,20
16.24758992057434,80.14976118684109,Safe,100,7.484406602603406,1,20
16.373417796793273,80.1099876034532,Safe,100,10.781068217229729,1,20
16.262071511823663,80.22480252273402,Safe,100,6.651956507609394,1,20
16.335137028727207,80.1452188351449,Safe,100,5.149079705222021,1,20
16.306783354805408,80.09801783272788,Safe,100,9.10147157589849,1,20
16.21815141216854,80.2261542752732,Safe,100,10.85693158343006,1,20
16.308614242801653,80.20681187030618,Very High,20,2.5182294369608544,1,20
16.36057161025694,80.1505251840684,Safe,100,6.936443334718691,1,20
16.405216733703206,80.12979873849179,Safe,100,12.352621105399512,1,20
16.24223680986306,80.13598757067594,Safe,100,8.768319732001494,1,20
16.352483258278344,80.15878541449857,Safe,100,5.723638233339852,1,20
16.339743352786424,80.28059317992988,Safe,100,11.013399935980202,1,20
16.31090169613156,80.09050257325727,Safe,100,9.91441922844065,1,20
16.38167494921139,80.1773904893863,Safe,100,8.360645770379477,1,20
16.33569946936224,80.14002843797472,Safe,100,5.632136085689957,1,20
16.24003629865078,80.13488865883683,Safe,100,9.036032769840713,1,20
16.272622375145232,80.24240393927445,Safe,100,7.358820201720951,1,20
16.323862219347962,80.2165647227421,Very High,20,4.030348997413378,1,20
16.268286544410092,80.08864434991472,Safe,100,10.968662028671528,1,20
16.39987665526093,80.22493310289154,Safe,100,11.272881259828438,1,20
16.371589329630947,80.20791273850644,Safe,100,7.6784654513779484,1,20
16.254134952033876,80.15412779361415,Safe,100,6.622608294380805,1,20
16.3267795047957,80.25216160737,Safe,100,7.680359620442878,1,20
16.331598916630202,80.28290734470077,Safe,100,10.984250745931496,1,20
16.357742818339982,80.18269023120567,Safe,100,5.676075398858713,1,20
16.22185593419369,80.26172712234903,Safe,100,12.613087497174316,1,20
16.230370101906093,80.13144526103116,Safe,100,10.132869609971264,1,20
16.311873332184835,80.11855124144026,Safe,100,6.933917560470097,1,20
16.31619155773829,80.2645924901027,Safe,100,8.739435142896156,1,20
16.28463400779708,80.19916222149885,Very High,20,2.9809948562077664,1,20
16.215145868279272,80.10704413000579,Safe,100,13.034579953753342,1,20
16.27387747327632,80.22514721088112,Safe,100,5.767919234672684,1,20
16.402097679263864,80.20712573415625,Safe,100,10.908088935804225,1,20
16.209208577882357,80.18077628783199,Safe,100,10.843898513492558,1,20
16.36170793287709,80.20185348407287,Safe,100,6.429025988895912,1,20
16.207886167309024,80.11989137587689,Safe,100,12.90518400151363,1,20
16.283680192250976,80.12569447203678,Safe,100,6.659690258136465,1,20
16.286017023148496,80.12559619973052,Safe,100,6.573992894978722,1,20
16.32851376731443,80.24403165383295,Safe,100,6.920058940710225,1,20
16.37593216926927,80.25290163714754,Safe,100,10.696689193606664,1,20
16.28558024022634,80.13111846664555,Safe,100,6.0440976730993645,1,20
16.39067086669175,80.11858978766958,Safe,100,11.612679437413208,1,20
16.346863173080685,80.09874763659941,Safe,100,10.067420970806058,1,20
16.226857860823372,80.11174621332397,Safe,100,11.71141319937135,1,20
16.386612887587965,80.21369436998563,Safe,100,9.459224183489779,1,20
16.397554455519387,80.18004634187656,Safe,100,10.108517438790708,1,20
16.31080987925,80.17322521439631,Very High,20,1.1682793832517409,1,20
16.344052679424216,80.10213874508231,Safe,100,9.60527488810916,1,20
16.282919946749285,80.24707722511688,Safe,100,7.302390704106415,1,20
16.215569866823095,80.21983289272472,Safe,100,10.857718963930662,1,20
16.322337911413936,80.22798383448584,Safe,100,5.075696159658827,1,20
16.235395308224668,80.09234650515852,Safe,100,12.53472500649038,1,20
16.271379622219847,80.21578048129902,Safe,100,5.238584638699766,1,20
16.33672486450697,80.20095704955274,Very High,20,3.8336307831665515,1,20
16.226985111567004,80.28329234160188,Safe,100,13.874180493670622,1,20
16.365518316719516,80.21447641412648,Safe,100,7.337742213100077,1,20
16.290901199607955,80.08961988521766,Safe,100,10.151279998440119,1,20
16.25510585438678,80.1196685561162,Safe,100,8.890513059898339,1,20
16.369944019409054,80.15702758534577,Safe,100,7.570589524953546,1,20
16.28306406123126,80.25871251214218,Safe,100,8.466884210506603,1,20
16.358481376213064,80.14051018057744,Safe,100,7.3485339596594565,1,20
16.37808893298337,80.18998570451598,Safe,100,7.970077755116341,1,20
16.369069566623864,80.25356932963889,Safe,100,10.213611109404006,1,20
16.273442946698804,80.1225146099042,Safe,100,7.467616086350024,1,20
16.364327448318257,80.21550725305546,Safe,100,7.271306946409453,1,20
16.340786316896875,80.27482371245571,Safe,100,10.47639114847581,1,20
16.38739093387173,80.25329039059925,Safe,100,11.673680140484294,1,20
16.313310172156896,80.13445889663927,Safe,100,5.263893158712368,1,20
16.35355321502728,80.14594458781865,Safe,100,6.559870951487123,1,20
16.262180542834393,80.084442556663,Safe,100,11.654991893457106,1,20
