latitude,longitude,risk_label,safety_score
16.22655282351361,80.23362616494921,Safe,100
16.271361672196402,80.27466524491999,Safe,100
16.32417520356193,80.13470396044941,Safe,100
16.260622852783357,80.1347086461183,Safe,100
16.31157063462273,80.24068533130952,Safe,100
16.213874256057778,80.12338735685927,Safe,100
16.391625160970506,80.16779467177899,Safe,100
16.36122221431325,80.11549903381126,Safe,100
16.32396449661683,80.1933203979045,Very High,20
16.362883702224057,80.11560864852633,Safe,100
16.33216936603223,80.16930420426291,Very High,20
16.315022323233695,80.16204049272667,Very High,20
16.39671031551443,80.12916753374418,Safe,100
16.22696768424643,80.19891037642489,Safe,100
16.330844474848817,80.11650617330915,Safe,100
16.30188323626973,80.21710961627487,Very High,20
16.24086865996392,80.18068782912297,Safe,100
16.33448241047778,80.24465202877592,Safe,100
16.267883900057193,80.15003437681798,Safe,100
16.241460679660353,80.10827305096741,Safe,100
16.384134687416243,80.18349377346635,Safe,100
16.309677807908265,80.21571924539771,Very High,20
16.25680889312279,80.25886633528339,Safe,100
16.24758992057434,80.14976118684109,Safe,100
16.373417796793273,80.1099876034532,Safe,100
16.262071511823663,80.22480252273402,Safe,100
16.335137028727207,80.1452188351449,Safe,100
16.306783354805408,80.09801783272788,Safe,100
16.21815141216854,80.2261542752732,Safe,100
16.308614242801653,80.20681187030618,Very High,20
16.36057161025694,80.1505251840684,Safe,100
16.405216733703206,80.12979873849179,Safe,100
16.24223680986306,80.13598757067594,Safe,100
16.352483258278344,80.15878541449857,Safe,100
16.339743352786424,80.28059317992988,Safe,100
16.31090169613156,80.09050257325727,Safe,100
16.38167494921139,80.1773904893863,Safe,100
16.33569946936224,80.14002843797472,Safe,100
16.24003629865078,80.13488865883683,Safe,100
16.272622375145232,80.24240393927445,Safe,100
16.323862219347962,80.2165647227421,Very High,20
16.268286544410092,80.08864434991472,Safe,100
16.39987665526093,80.22493310289154,Safe,100
16.371589329630947,80.20791273850644,Safe,100
16.254134952033876,80.15412779361415,Safe,100
16.3267795047957,80.25216160737,Safe,100
16.331598916630202,80.28290734470077,Safe,100
16.357742818339982,80.18269023120567,Safe,100
16.22185593419369,80.26172712234903,Safe,100
16.230370101906093,80.13144526103116,Safe,100
16.311873332184835,80.11855124144026,Safe,100
16.31619155773829,80.2645924901027,Safe,100
16.28463400779708,80.19916222149885,Very High,20
16.215145868279272,80.10704413000579,Safe,100
16.27387747327632,80.22514721088112,Safe,100
16.402097679263864,80.20712573415625,Safe,100
16.209208577882357,80.18077628783199,Safe,100
16.36170793287709,80.20185348407287,Safe,100
16.207886167309024,80.11989137587689,Safe,100
16.283680192250976,80.12569447203678,Safe,100
16.286017023148496,80.12559619973052,Safe,100
16.32851376731443,80.24403165383295,Safe,100
16.37593216926927,80.25290163714754,Safe,100
16.28558024022634,80.13111846664555,Safe,100
16.39067086669175,80.11858978766958,Safe,100
16.346863173080685,80.09874763659941,Safe,100
16.226857860823372,80.11174621332397,Safe,100
16.386612887587965,80.21369436998563,Safe,100
16.397554455519387,80.18004634187656,Safe,100
16.31080987925,80.17322521439631,Very High,20
16.344052679424216,80.10213874508231,Safe,100
16.282919946749285,80.24707722511688,Safe,100
